combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 2nd Half Corners (odd2)
1-Under 6.5,3.25,1.16,3.55,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Under 6.5 @ 1.1600,,
1-Over 7.5,3.25,7.4,21,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Over 7.5 @ 7.4000,,
1-Under 7.5,3.25,1.07,3.3,Match Result: CA Aldosivi @ 3.2500  |  2nd Half Corners: Under 7.5 @ 1.0700,,
X-Under 1.5,2.75,8.75,23,Match Result: Draw @ 2.7500  |  2nd Half Corners: Under 1.5 @ 8.7500,,
X-Over 2.5,2.75,1.18,3.35,Match Result: Draw @ 2.7500  |  2nd Half Corners: Over 2.5 @ 1.1800,,
1-Over 1.5,2.75,1.04,2.75,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Over 1.5 @ 1.0400,,
1-Over 2.5,2.75,1.16,3.1,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Over 2.5 @ 1.1600,,
1-Under 1.5,2.75,9,21,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Under 1.5 @ 9.0000,,
1-Over 3.5,2.75,1.42,3.75,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Over 3.5 @ 1.4200,,
1-Under 2.5,2.75,4.75,11.75,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Under 2.5 @ 4.7500,,
1-Under 3.5,2.75,2.77,7.1,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Under 3.5 @ 2.7700,,
1-Under 4.5,2.75,1.83,4.85,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Under 4.5 @ 1.8300,,
1-Under 7.5,2.75,1.08,2.87,Match Result: Instituto AC Cordoba @ 2.7500  |  2nd Half Corners: Under 7.5 @ 1.0800,,
1-Over 1.5,3,1.04,3.05,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 1.5 @ 1.0400,,
1-Under 1.5,3,9,26,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 1.5 @ 9.0000,,
1-Over 2.5,3,1.17,3.4,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 2.5 @ 1.1700,,
1-Over 3.5,3,1.42,4.2,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 3.5 @ 1.4200,,
1-Under 2.5,3,4.7,14,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 2.5 @ 4.7000,,
1-Over 4.5,3,1.93,5.7,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 4.5 @ 1.9300,,
1-Under 3.5,3,2.72,7.8,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 3.5 @ 2.7200,,
1-Under 4.5,3,1.8,5.3,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 4.5 @ 1.8000,,
1-Over 5.5,3,2.87,8.5,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 5.5 @ 2.8700,,
1-Over 6.5,3,4.6,13.5,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 6.5 @ 4.6000,,
1-Under 5.5,3,1.38,4.05,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 5.5 @ 1.3800,,
1-Over 7.5,3,7.2,18.5,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 7.5 @ 7.2000,,
1-Over 8.5,3,10.25,27,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Over 8.5 @ 10.2500,,
1-Under 6.5,3,1.17,3.45,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 6.5 @ 1.1700,,
1-Under 7.5,3,1.07,3.2,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 7.5 @ 1.0700,,
1-Under 9.5,3,1.01,3,Match Result: Central Cordoba @ 3.0000  |  2nd Half Corners: Under 9.5 @ 1.0100,,
X-Over 1.5,2.52,1.04,2.62,Match Result: Draw @ 2.5200  |  2nd Half Corners: Over 1.5 @ 1.0400,,
X-Over 2.5,2.52,1.17,2.95,Match Result: Draw @ 2.5200  |  2nd Half Corners: Over 2.5 @ 1.1700,,
X-Under 1.5,2.52,9,19.5,Match Result: Draw @ 2.5200  |  2nd Half Corners: Under 1.5 @ 9.0000,,
X-Over 4.5,2.52,1.93,5,Match Result: Draw @ 2.5200  |  2nd Half Corners: Over 4.5 @ 1.9300,,
X-Over 5.5,2.52,2.87,7.4,Match Result: Draw @ 2.5200  |  2nd Half Corners: Over 5.5 @ 2.8700,,
X-Under 3.5,2.52,2.72,6.4,Match Result: Draw @ 2.5200  |  2nd Half Corners: Under 3.5 @ 2.7200,,
X-Under 4.5,2.52,1.8,4.35,Match Result: Draw @ 2.5200  |  2nd Half Corners: Under 4.5 @ 1.8000,,
X-Over 6.5,2.52,4.6,12,Match Result: Draw @ 2.5200  |  2nd Half Corners: Over 6.5 @ 4.6000,,
X-Under 6.5,2.52,1.17,2.9,Match Result: Draw @ 2.5200  |  2nd Half Corners: Under 6.5 @ 1.1700,,
X-Over 9.5,2.52,12.5,30,Match Result: Draw @ 2.5200  |  2nd Half Corners: Over 9.5 @ 12.5000,,
X-Under 9.5,2.52,1.01,2.52,Match Result: Draw @ 2.5200  |  2nd Half Corners: Under 9.5 @ 1.0100,,
1-Over 1.5,2.92,1.04,2.92,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Over 1.5 @ 1.0400,,
1-Over 3.5,2.92,1.4,3.85,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Over 3.5 @ 1.4000,,
1-Under 3.5,2.92,2.82,7.9,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Under 3.5 @ 2.8200,,
1-Over 4.5,2.92,1.88,5,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Over 4.5 @ 1.8800,,
1-Over 5.5,2.92,2.8,7.1,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Over 5.5 @ 2.8000,,
1-Under 6.5,2.92,1.19,3.35,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Under 6.5 @ 1.1900,,
1-Over 7.5,2.92,6.9,17,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Over 7.5 @ 6.9000,,
1-Over 8.5,2.92,10,24,Match Result: Barracas Central @ 2.9200  |  2nd Half Corners: Over 8.5 @ 10.0000,,
1-Over 1.5,2.27,1.05,2.3,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Over 1.5 @ 1.0500,,
1-Over 2.5,2.27,1.18,2.6,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Over 2.5 @ 1.1800,,
1-Under 1.5,2.27,8.5,18,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Under 1.5 @ 8.5000,,
1-Under 2.5,2.27,4.55,9.5,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Under 2.5 @ 4.5500,,
1-Over 4.5,2.27,2,4.4,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Over 4.5 @ 2.0000,,
1-Over 5.5,2.27,3,6.5,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Over 5.5 @ 3.0000,,
1-Under 3.5,2.27,2.65,5.6,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Under 3.5 @ 2.6500,,
1-Under 4.5,2.27,1.75,3.8,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Under 4.5 @ 1.7500,,
1-Over 6.5,2.27,4.8,9.75,Match Result: San Lorenzo @ 2.2700  |  2nd Half Corners: Over 6.5 @ 4.8000,,
