combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 1st Half Corners (odd2)
2-Under 4.5,4.05,1.62,6.3,Match Result: CA Talleres de Cordoba @ 4.0500  |  1st Half Corners: Under 4.5 @ 1.6200,,
1-Over 4.5,2.92,2.25,6,Match Result: Defensa y Justicia @ 2.9200  |  1st Half Corners: Over 4.5 @ 2.2500,,
2-Over 4.5,2.7,2.25,5.8,Match Result: Union de Santa Fe @ 2.7000  |  1st Half Corners: Over 4.5 @ 2.2500,,
1-Over 4.5,2.32,2.07,4.5,Match Result: Velez Sarsfield @ 2.3200  |  1st Half Corners: Over 4.5 @ 2.0700,,
1-Under 4.5,2.32,1.7,3.9,Match Result: Velez Sarsfield @ 2.3200  |  1st Half Corners: Under 4.5 @ 1.7000,,
2-Over 4.5,3.4,2.07,6.9,Match Result: CA Lanus @ 3.4000  |  1st Half Corners: Over 4.5 @ 2.0700,,
2-Under 4.5,3.4,1.7,5.4,Match Result: CA Lanus @ 3.4000  |  1st Half Corners: Under 4.5 @ 1.7000,,
X-Over 4.5,3.05,2.07,6.5,Match Result: Draw @ 3.0500  |  1st Half Corners: Over 4.5 @ 2.0700,,
1-Over 3.5,6.9,1.6,10.5,Match Result: Estudiantes Rio Cuarto @ 6.9000  |  1st Half Corners: Over 3.5 @ 1.6000,,
1-Under 3.5,6.9,2.27,14,Match Result: Estudiantes Rio Cuarto @ 6.9000  |  1st Half Corners: Under 3.5 @ 2.2700,,
2-Over 3.5,1.6,1.6,2.52,Match Result: River Plate @ 1.6000  |  1st Half Corners: Over 3.5 @ 1.6000,,
X-Under 3.5,3.55,2.27,7.8,Match Result: Draw @ 3.5500  |  1st Half Corners: Under 3.5 @ 2.2700,,
2-Under 3.5,1.6,2.27,3.6,Match Result: River Plate @ 1.6000  |  1st Half Corners: Under 3.5 @ 2.2700,,
1-Over 4.5,2.15,2.05,4.2,Match Result: CA Sarmiento @ 2.1500  |  1st Half Corners: Over 4.5 @ 2.0500,,
1-Under 4.5,2.15,1.72,3.65,Match Result: CA Sarmiento @ 2.1500  |  1st Half Corners: Under 4.5 @ 1.7200,,
X-Over 4.5,3,2.05,6.2,Match Result: Draw @ 3.0000  |  1st Half Corners: Over 4.5 @ 2.0500,,
X-Under 4.5,3,1.72,5.2,Match Result: Draw @ 3.0000  |  1st Half Corners: Under 4.5 @ 1.7200,,
2-Over 4.5,4.05,2.05,8,Match Result: CA Aldosivi @ 4.0500  |  1st Half Corners: Over 4.5 @ 2.0500,,
2-Under 4.5,4.05,1.72,6.7,Match Result: CA Aldosivi @ 4.0500  |  1st Half Corners: Under 4.5 @ 1.7200,,
1-Over 4.5,1.98,1.78,3.3,Match Result: Toronto FC @ 1.9800  |  1st Half Corners: Over 4.5 @ 1.7800,,
1-Under 4.5,1.98,1.95,3.65,Match Result: Toronto FC @ 1.9800  |  1st Half Corners: Under 4.5 @ 1.9500,,
2-Over 4.5,3.65,1.78,6.1,Match Result: Colorado Rapids @ 3.6500  |  1st Half Corners: Over 4.5 @ 1.7800,,
2-Under 4.5,3.65,1.95,6.6,Match Result: Colorado Rapids @ 3.6500  |  1st Half Corners: Under 4.5 @ 1.9500,,
X-Over 4.5,3.75,1.78,6.8,Match Result: Draw @ 3.7500  |  1st Half Corners: Over 4.5 @ 1.7800,,
X-Under 4.5,3.75,1.95,7.4,Match Result: Draw @ 3.7500  |  1st Half Corners: Under 4.5 @ 1.9500,,
1-Over 4.5,1.36,1.67,2.22,Match Result: Real Salt Lake @ 1.3600  |  1st Half Corners: Over 4.5 @ 1.6700,,
2-Over 4.5,8.25,1.67,11.5,Match Result: Sporting Kansas City @ 8.2500  |  1st Half Corners: Over 4.5 @ 1.6700,,
X-Over 4.5,5.1,1.67,8.5,Match Result: Draw @ 5.1000  |  1st Half Corners: Over 4.5 @ 1.6700,,
X-Under 4.5,5.1,2.12,11,Match Result: Draw @ 5.1000  |  1st Half Corners: Under 4.5 @ 2.1200,,
1-Under 4.5,1.36,2.12,2.77,Match Result: Real Salt Lake @ 1.3600  |  1st Half Corners: Under 4.5 @ 2.1200,,
2-Under 4.5,8.25,2.12,15.5,Match Result: Sporting Kansas City @ 8.2500  |  1st Half Corners: Under 4.5 @ 2.1200,,
1-Over 4.5,1.95,1.87,3.55,Match Result: New England Revolution @ 1.9500  |  1st Half Corners: Over 4.5 @ 1.8700,,
2-Over 4.5,3.8,1.87,6.7,Match Result: CF Montreal @ 3.8000  |  1st Half Corners: Over 4.5 @ 1.8700,,
2-Under 4.5,3.8,1.87,6.6,Match Result: CF Montreal @ 3.8000  |  1st Half Corners: Under 4.5 @ 1.8700,,
X-Over 4.5,3.65,1.87,6.9,Match Result: Draw @ 3.6500  |  1st Half Corners: Over 4.5 @ 1.8700,,
1-Under 4.5,1.95,1.88,3.45,Match Result: New England Revolution @ 1.9500  |  1st Half Corners: Under 4.5 @ 1.8800,,
X-Under 4.5,3.65,1.88,7.1,Match Result: Draw @ 3.6500  |  1st Half Corners: Under 4.5 @ 1.8800,,
1-Over 4.5,2.92,1.95,4.9,Match Result: Atlanta United FC @ 2.9200  |  1st Half Corners: Over 4.5 @ 1.9500,,
1-Under 4.5,2.92,1.8,5.1,Match Result: Atlanta United FC @ 2.9200  |  1st Half Corners: Under 4.5 @ 1.8000,,
2-Over 4.5,2.37,1.95,4.4,Match Result: Columbus Crew SC @ 2.3700  |  1st Half Corners: Over 4.5 @ 1.9500,,
2-Under 4.5,2.37,1.8,4.1,Match Result: Columbus Crew SC @ 2.3700  |  1st Half Corners: Under 4.5 @ 1.8000,,
X-Over 4.5,3.5,1.95,6.8,Match Result: Draw @ 3.5000  |  1st Half Corners: Over 4.5 @ 1.9500,,
X-Under 4.5,3.5,1.8,6.3,Match Result: Draw @ 3.5000  |  1st Half Corners: Under 4.5 @ 1.8000,,
1-Over 4.5,1.45,1.8,2.57,Match Result: Inter Miami CF @ 1.4500  |  1st Half Corners: Over 4.5 @ 1.8000,,
1-Under 4.5,1.45,1.95,2.67,Match Result: Inter Miami CF @ 1.4500  |  1st Half Corners: Under 4.5 @ 1.9500,,
2-Under 4.5,6.3,1.95,11.5,Match Result: Austin FC @ 6.3000  |  1st Half Corners: Under 4.5 @ 1.9500,,
X-Over 4.5,5,1.8,8.75,Match Result: Draw @ 5.0000  |  1st Half Corners: Over 4.5 @ 1.8000,,
X-Under 4.5,5,1.95,10.25,Match Result: Draw @ 5.0000  |  1st Half Corners: Under 4.5 @ 1.9500,,
1-Over 4.5,2.15,1.88,3.8,Match Result: Charlotte FC @ 2.1500  |  1st Half Corners: Over 4.5 @ 1.8800,,
2-Over 4.5,3.2,1.88,5.7,Match Result: Philadelphia Union @ 3.2000  |  1st Half Corners: Over 4.5 @ 1.8800,,
2-Under 4.5,3.2,1.85,5.5,Match Result: Philadelphia Union @ 3.2000  |  1st Half Corners: Under 4.5 @ 1.8500,,
X-Under 4.5,3.65,1.85,6.9,Match Result: Draw @ 3.6500  |  1st Half Corners: Under 4.5 @ 1.8500,,
1-Under 4.5,2.15,1.8,3.7,Match Result: Charlotte FC @ 2.1500  |  1st Half Corners: Under 4.5 @ 1.8000,,
X-Over 4.5,3.65,1.93,7.1,Match Result: Draw @ 3.6500  |  1st Half Corners: Over 4.5 @ 1.9300,,
1-Over 4.5,1.8,1.78,3.2,Match Result: New York City FC @ 1.8000  |  1st Half Corners: Over 4.5 @ 1.7800,,
1-Under 4.5,1.8,1.95,3.3,Match Result: New York City FC @ 1.8000  |  1st Half Corners: Under 4.5 @ 1.9500,,
2-Over 4.5,4.4,1.78,6.7,Match Result: St. Louis City SC @ 4.4000  |  1st Half Corners: Over 4.5 @ 1.7800,,
2-Under 4.5,4.4,1.95,7.7,Match Result: St. Louis City SC @ 4.4000  |  1st Half Corners: Under 4.5 @ 1.9500,,
X-Over 4.5,3.75,1.78,7,Match Result: Draw @ 3.7500  |  1st Half Corners: Over 4.5 @ 1.7800,,
X-Under 4.5,3.75,1.95,7.3,Match Result: Draw @ 3.7500  |  1st Half Corners: Under 4.5 @ 1.9500,,
1-Over 4.5,2.25,1.8,3.85,Match Result: D.C. United @ 2.2500  |  1st Half Corners: Over 4.5 @ 1.8000,,
1-Under 4.5,2.25,1.95,4.1,Match Result: D.C. United @ 2.2500  |  1st Half Corners: Under 4.5 @ 1.9500,,
2-Over 4.5,3.2,1.8,5.2,Match Result: FC Dallas @ 3.2000  |  1st Half Corners: Over 4.5 @ 1.8000,,
2-Under 4.5,3.2,1.95,5.9,Match Result: FC Dallas @ 3.2000  |  1st Half Corners: Under 4.5 @ 1.9500,,
X-Over 4.5,3.4,1.8,6.3,Match Result: Draw @ 3.4000  |  1st Half Corners: Over 4.5 @ 1.8000,,
X-Under 4.5,3.4,1.95,6.9,Match Result: Draw @ 3.4000  |  1st Half Corners: Under 4.5 @ 1.9500,,
1-Over 4.5,2,1.85,3.65,Match Result: New York Red Bulls @ 2.0000  |  1st Half Corners: Over 4.5 @ 1.8500,,
1-Under 4.5,2,1.9,3.45,Match Result: New York Red Bulls @ 2.0000  |  1st Half Corners: Under 4.5 @ 1.9000,,
2-Over 4.5,3.45,1.85,5.6,Match Result: FC Cincinnati @ 3.4500  |  1st Half Corners: Over 4.5 @ 1.8500,,
2-Under 4.5,3.45,1.9,6.3,Match Result: FC Cincinnati @ 3.4500  |  1st Half Corners: Under 4.5 @ 1.9000,,
X-Over 4.5,3.85,1.85,7.2,Match Result: Draw @ 3.8500  |  1st Half Corners: Over 4.5 @ 1.8500,,
X-Under 4.5,3.85,1.9,7.3,Match Result: Draw @ 3.8500  |  1st Half Corners: Under 4.5 @ 1.9000,,
1-Over 4.5,2.52,2.05,5,Match Result: Chicago Fire FC @ 2.5200  |  1st Half Corners: Over 4.5 @ 2.0500,,
1-Under 4.5,2.52,1.72,3.95,Match Result: Chicago Fire FC @ 2.5200  |  1st Half Corners: Under 4.5 @ 1.7200,,
2-Under 4.5,3,1.72,4.8,Match Result: Nashville SC @ 3.0000  |  1st Half Corners: Under 4.5 @ 1.7200,,
X-Over 4.5,3.15,2.05,6.4,Match Result: Draw @ 3.1500  |  1st Half Corners: Over 4.5 @ 2.0500,,
X-Under 4.5,3.15,1.72,5.6,Match Result: Draw @ 3.1500  |  1st Half Corners: Under 4.5 @ 1.7200,,
1-Over 4.5,2.72,1.8,4.4,Match Result: Houston Dynamo FC @ 2.7200  |  1st Half Corners: Over 4.5 @ 1.8000,,
1-Under 4.5,2.72,1.93,4.9,Match Result: Houston Dynamo FC @ 2.7200  |  1st Half Corners: Under 4.5 @ 1.9300,,
2-Over 4.5,2.62,1.8,4.45,Match Result: Seattle Sounders FC @ 2.6200  |  1st Half Corners: Over 4.5 @ 1.8000,,
2-Under 4.5,2.62,1.93,4.85,Match Result: Seattle Sounders FC @ 2.6200  |  1st Half Corners: Under 4.5 @ 1.9300,,
X-Over 4.5,3.3,1.8,5.9,Match Result: Draw @ 3.3000  |  1st Half Corners: Over 4.5 @ 1.8000,,
X-Under 4.5,3.3,1.93,6.4,Match Result: Draw @ 3.3000  |  1st Half Corners: Under 4.5 @ 1.9300,,
1-Over 4.5,1.3,1.67,2.15,Match Result: Los Angeles FC @ 1.3000  |  1st Half Corners: Over 4.5 @ 1.6700,,
1-Under 4.5,1.3,2.1,2.65,Match Result: Los Angeles FC @ 1.3000  |  1st Half Corners: Under 4.5 @ 2.1000,,
2-Over 4.5,8.5,1.67,10.75,Match Result: Orlando City SC @ 8.5000  |  1st Half Corners: Over 4.5 @ 1.6700,,
2-Under 4.5,8.5,2.1,15,Match Result: Orlando City SC @ 8.5000  |  1st Half Corners: Under 4.5 @ 2.1000,,
X-Over 4.5,6.1,1.67,10,Match Result: Draw @ 6.1000  |  1st Half Corners: Over 4.5 @ 1.6700,,
X-Under 4.5,6.1,2.1,14,Match Result: Draw @ 6.1000  |  1st Half Corners: Under 4.5 @ 2.1000,,
1-Over 5.5,1.33,2.2,2.85,Match Result: Vancouver Whitecaps FC @ 1.3300  |  1st Half Corners: Over 5.5 @ 2.2000,,
1-Under 5.5,1.33,1.62,2.12,Match Result: Vancouver Whitecaps FC @ 1.3300  |  1st Half Corners: Under 5.5 @ 1.6200,,
2-Over 5.5,8.25,2.2,14,Match Result: Portland Timbers @ 8.2500  |  1st Half Corners: Over 5.5 @ 2.2000,,
2-Under 5.5,8.25,1.62,11.75,Match Result: Portland Timbers @ 8.2500  |  1st Half Corners: Under 5.5 @ 1.6200,,
X-Over 5.5,5.7,2.2,11.5,Match Result: Draw @ 5.7000  |  1st Half Corners: Over 5.5 @ 2.2000,,
X-Under 5.5,5.7,1.62,9.5,Match Result: Draw @ 5.7000  |  1st Half Corners: Under 5.5 @ 1.6200,,
1-Over 4.5,2.25,1.8,3.75,Match Result: San Jose Earthquakes @ 2.2500  |  1st Half Corners: Over 4.5 @ 1.8000,,
1-Under 4.5,2.25,1.95,4.1,Match Result: San Jose Earthquakes @ 2.2500  |  1st Half Corners: Under 4.5 @ 1.9500,,
2-Over 4.5,3.05,1.8,5,Match Result: San Diego FC @ 3.0500  |  1st Half Corners: Over 4.5 @ 1.8000,,
2-Under 4.5,3.05,1.95,5.6,Match Result: San Diego FC @ 3.0500  |  1st Half Corners: Under 4.5 @ 1.9500,,
